Subject,Ravenclaw,Slytherin,Gryffindor,Hufflepuff
Astronomy,-4.599943570497221,-2.699514388925586,1.5145986423401623,4.434188451277603
Herbology,1.4620515870116793,-2.7711542134418092,-2.3446725562969886,3.822667100173948
Divination,0.4650504465917038,-4.443122713374713,1.0692093123560535,1.9130831771792962
Muggle Studies,3.813548138869042,-0.9715568412580774,-0.5783545637539763,-2.920562716238076
Ancient Runes,2.4766334658509352,-1.5042837981846238,2.388453104708005,-4.851564371811665
History of Magic,-0.6487690206310206,1.4062362470694285,-3.023757988121805,1.3589823115855117
Transfiguration,-0.736681543722334,1.7941855540973246,-3.3035470817022166,1.0749465377109622
Potions,-1.1611997590435128,2.8937837257427828,-0.9955493269281247,-2.2499680070420904
Charms,3.8274357398212913,-1.6366953456297486,-1.6790568580454006,-0.6534384122041222
Flying,-1.5006616686491379,-1.2575715450658853,3.04676025805562,-2.2351659233437875
Bias,-2.9714525678381967,1.4646775870860809,0.06973002011146869,-2.257032907135435
